,date,fipscode,county,state,effective_concentration_rolling_average,MEAN_of_inpatient_beds_used_covid_7_day_avg,MEAN_of_total_beds_7_day_avg,Perc_used_covid_over_pop,MEAN_of_pop_2019,mean_household_income_2019,poverty_2019
1321,2021-08-20,37051,Cumberland County,NC,1355.0448389642036,91.6,442.5,0.0275189944,332861.0,61346,18.4
1323,2021-08-20,28049,Hinds County,MS,1747.600187932626,57.4285714285714,277.942857142857,0.0240491176,238797.0,61247,21.3
1350,2021-08-27,25025,Suffolk County,MA,345.2695436817198,6.97272727272727,391.15625,0.0008753055,796605.0,104274,18.2
1353,2021-08-27,51660,Harrisonburg city,VA,402.8516439355049,19.9,262.0,0.0373547576,53273.0,65667,28.3
1358,2021-08-27,28049,Hinds County,MS,1149.5622262764389,56.6571428571428,279.7,0.0237260698,238797.0,61247,21.3
1361,2021-08-27,12086,Miami-Dade County,FL,656.7904459442499,104.655,352.777272727272,0.0038769324,2699428.0,79100,17.1
1381,2021-09-03,51660,Harrisonburg city,VA,574.0280520327766,30.1,262.0,0.0565014172,53273.0,65667,28.3
1384,2021-09-03,12086,Miami-Dade County,FL,514.9716601107501,89.05,354.545454545454,0.003298847,2699428.0,79100,17.1
1387,2021-09-03,25025,Suffolk County,MA,320.843960346287,6.40833333333333,392.35625,0.0008044556,796605.0,104274,18.2
1421,2021-09-10,51660,Harrisonburg city,VA,631.5856463719878,52.0,262.0,0.0976104218,53273.0,65667,28.3
1429,2021-09-10,25025,Suffolk County,MA,270.0285231660196,6.13333333333333,393.956249999999,0.0007699341,796605.0,104274,18.2
1430,2021-09-10,12086,Miami-Dade County,FL,351.93393157482546,75.1473684210526,352.436363636363,0.0027838256,2699428.0,79100,17.1
1431,2021-09-17,25025,Suffolk County,MA,326.9555678596985,6.7,395.15,0.0008410693,796605.0,104274,18.2
1446,2021-09-17,51660,Harrisonburg city,VA,564.6116564496027,71.1,262.0,0.1334634806,53273.0,65667,28.3
1458,2021-09-17,12086,Miami-Dade County,FL,313.6921757772392,52.5809523809523,348.404545454545,0.0019478553,2699428.0,79100,17.1
1467,2021-09-24,12086,Miami-Dade County,FL,206.2228102529425,43.855,345.731818181818,0.0016246034,2699428.0,79100,17.1
1479,2021-09-24,25025,Suffolk County,MA,278.52590318060135,6.52499999999999,388.70625,0.0008191011,796605.0,104274,18.2
1490,2021-09-24,51660,Harrisonburg city,VA,602.527413202321,61.3,262.0,0.1150676703,53273.0,65667,28.3
1494,2021-10-01,25025,Suffolk County,MA,330.6965848236777,6.35,385.94375,0.0007971328,796605.0,104274,18.2
1499,2021-10-01,47157,Shelby County,TN,389.83077748953946,26.3583333333333,267.084615384615,0.0028149365,936374.0,76734,19.3
1501,2021-10-01,51660,Harrisonburg city,VA,634.743173997687,50.0,262.0,0.0938561748,53273.0,65667,28.3
1512,2021-10-01,12086,Miami-Dade County,FL,176.08012588064182,36.325,350.35909090909,0.0013456554,2699428.0,79100,17.1
1524,2021-10-08,47157,Shelby County,TN,288.81529706580136,21.7833333333333,269.8,0.0023263497,936374.0,76734,19.3
1526,2021-10-08,51660,Harrisonburg city,VA,325.61079229628484,45.9,262.0,0.0861599685,53273.0,65667,28.3
1543,2021-10-08,12086,Miami-Dade County,FL,131.14007030335577,31.8555555555555,351.127272727272,0.0011800854,2699428.0,79100,17.1
1549,2021-10-08,25025,Suffolk County,MA,347.76523480253417,5.65833333333333,383.1125,0.000710306,796605.0,104274,18.2
1563,2021-10-15,12086,Miami-Dade County,FL,156.95839679528663,26.6,345.963636363636,0.0009853939,2699428.0,79100,17.1
1572,2021-10-15,25025,Suffolk County,MA,297.4762771286898,5.35,384.5125,0.0006716001,796605.0,104274,18.2
1575,2021-10-15,47157,Shelby County,TN,199.4871661579295,17.625,269.123076923076,0.0018822607,936374.0,76734,19.3
1579,2021-10-15,51660,Harrisonburg city,VA,342.2036222306085,43.9,262.0,0.0824057215,53273.0,65667,28.3
1590,2021-10-22,12086,Miami-Dade County,FL,116.06927836084576,24.1315789473684,351.286363636363,0.0008939516,2699428.0,79100,17.1
1596,2021-10-22,25025,Suffolk County,MA,317.43364634333994,6.22727272727272,385.91875,0.0007817265,796605.0,104274,18.2
1600,2021-10-22,51660,Harrisonburg city,VA,319.27389757554585,38.3,262.0,0.0718938299,53273.0,65667,28.3
1614,2021-10-29,12086,Miami-Dade County,FL,100.06031353742178,22.1235294117647,353.254545454545,0.0008195636,2699428.0,79100,17.1
1622,2021-10-29,51660,Harrisonburg city,VA,204.27757152942465,31.6,262.0,0.0593171025,53273.0,65667,28.3
1632,2021-10-29,25025,Suffolk County,MA,331.3878598085944,5.54166666666666,378.2375,0.0006956605,796605.0,104274,18.2
1644,2021-11-05,12086,Miami-Dade County,FL,140.51338188413965,19.2588235294117,350.5,0.0007134409,2699428.0,79100,17.1
1650,2021-11-05,25025,Suffolk County,MA,395.9159187842633,4.69999999999999,357.6625,0.0005900038,796605.0,104274,18.2
1654,2021-11-05,51660,Harrisonburg city,VA,144.45006622364863,23.6,262.0,0.0443001145,53273.0,65667,28.3
1668,2021-11-12,12086,Miami-Dade County,FL,167.79449927279552,16.68125,355.063636363636,0.000617955,2699428.0,79100,17.1
1675,2021-11-12,51660,Harrisonburg city,VA,261.6905916957256,22.0,262.0,0.0412967169,53273.0,65667,28.3
1677,2021-11-12,25025,Suffolk County,MA,534.0398390982444,4.11666666666666,356.24375,0.0005167764,796605.0,104274,18.2
1700,2021-11-19,51660,Harrisonburg city,VA,356.3841355169024,14.6,262.0,0.027406003,53273.0,65667,28.3
1707,2021-11-19,12086,Miami-Dade County,FL,172.52450232671325,16.0642857142857,334.972727272727,0.0005950996,2699428.0,79100,17.1
1713,2021-11-19,25025,Suffolk County,MA,640.0676342536759,6.35833333333333,355.825,0.0007981789,796605.0,104274,18.2
1723,2021-11-26,51660,Harrisonburg city,VA,290.41420845571025,19.3,262.0,0.0362284835,53273.0,65667,28.3
1729,2021-11-26,25025,Suffolk County,MA,873.7700472874252,6.27857142857142,354.956249999999,0.0007881662,796605.0,104274,18.2
1740,2021-11-26,12086,Miami-Dade County,FL,198.28161976729845,16.2266666666666,338.140909090909,0.000601115,2699428.0,79100,17.1
1744,2021-12-03,51660,Harrisonburg city,VA,438.535293380362,23.7,262.0,0.0444878269,53273.0,65667,28.3
1760,2021-12-03,25025,Suffolk County,MA,1441.5751484035484,6.83076923076923,358.6,0.0008574851,796605.0,104274,18.2
1769,2021-12-03,12086,Miami-Dade County,FL,149.27965345813638,14.1666666666666,339.75909090909,0.0005248025,2699428.0,79100,17.1
1782,2021-12-10,12086,Miami-Dade County,FL,377.3867375529513,15.2933333333333,333.695454545454,0.0005665398,2699428.0,79100,17.1
1792,2021-12-10,51660,Harrisonburg city,VA,748.9789295991977,30.6,262.0,0.057439979,53273.0,65667,28.3
1797,2021-12-10,25025,Suffolk County,MA,1510.3745175051172,10.6538461538461,371.8375,0.0013374064,796605.0,104274,18.2
1808,2021-12-17,12086,Miami-Dade County,FL,1540.5158173093944,14.9823529411764,333.681818181818,0.0005550195,2699428.0,79100,17.1
1817,2021-12-17,51660,Harrisonburg city,VA,908.8316845671824,37.6,262.0,0.0705798434,53273.0,65667,28.3
1824,2021-12-17,25025,Suffolk County,MA,2184.6016686584067,15.1181818181818,368.662499999999,0.0018978266,796605.0,104274,18.2
1825,2021-12-24,51660,Harrisonburg city,VA,1892.7257358769984,40.3,262.0,0.0756480769,53273.0,65667,28.3
1832,2021-12-24,25025,Suffolk County,MA,4968.762260832706,18.4636363636363,363.6375,0.0023177907,796605.0,104274,18.2
1846,2021-12-24,12086,Miami-Dade County,FL,3555.9388549489254,21.4947368421052,336.040909090909,0.0007962701,2699428.0,79100,17.1
1858,2021-12-31,25025,Suffolk County,MA,8756.035945716767,22.4166666666666,356.587499999999,0.0028140254,796605.0,104274,18.2
1872,2021-12-31,51660,Harrisonburg city,VA,3351.4180586999105,38.3,262.0,0.0718938299,53273.0,65667,28.3
1874,2021-12-31,12086,Miami-Dade County,FL,3374.219062113227,43.3999999999999,338.095454545454,0.001607748,2699428.0,79100,17.1
1878,2022-01-07,25025,Suffolk County,MA,7395.495015765857,35.5999999999999,354.0875,0.0044689652,796605.0,104274,18.2
1888,2022-01-07,12086,Miami-Dade County,FL,2048.8952474908874,90.87,341.872727272727,0.0033662687,2699428.0,79100,17.1
1896,2022-01-07,51660,Harrisonburg city,VA,2481.6391522819854,49.3,262.0,0.0925421884,53273.0,65667,28.3
1912,2022-01-14,51660,Harrisonburg city,VA,1887.860852173461,62.6,262.0,0.1175079308,53273.0,65667,28.3
1919,2022-01-14,12086,Miami-Dade County,FL,1201.904310743219,115.555,337.852380952381,0.0042807217,2699428.0,79100,17.1
1924,2022-01-14,25025,Suffolk County,MA,3723.135050164693,53.6538461538461,355.64375,0.0067353138,796605.0,104274,18.2
1934,2022-01-21,25025,Suffolk County,MA,1949.9510254260383,53.1999999999999,,0.0066783412,796605.0,104274,18.2
1938,2022-01-21,51660,Harrisonburg city,VA,1668.3460746906865,63.4,262.0,0.1190096296,53273.0,65667,28.3
1947,2022-01-21,12086,Miami-Dade County,FL,621.6730774652266,100.375,359.129411764705,0.0037183803,2699428.0,79100,17.1
1962,2022-01-28,25025,Suffolk County,MA,1191.487041495895,42.0714285714285,,0.0052813413,796605.0,104274,18.2
